Day of outbreak,MCMC,Nishiura,Enumerate
0,0.7184473233189353,0.7184473233189352,0.7184473233189352
1,0.7223411326967942,0.7190770879564314,0.7223411326967945
2,0.7311610031264666,0.7205764007985723,0.7311610031264665
3,0.7448441626891406,0.7231176175609508,0.7448441626891404
4,0.7618832332230704,0.7266914243790376,0.7618832332230705
5,0.7806592692074018,0.7312379464010472,0.7806592692074019
6,0.7998877021617528,0.7366778750414016,0.7998877021617528
7,0.8187034261864922,0.7429264121460583,0.8187034261864923
8,0.8365890299549206,0.749899302650894,0.8365890299549207
9,0.8532716163277839,0.7575151082646965,0.8532716163277838
10,0.8686360806941239,0.7656957062822805,0.8686360806941242
11,0.8826637294091365,0.7743659942428005,0.8826637294091364
12,0.8953920808593541,0.7834532959742956,0.8953920808593543
13,0.9068895633619575,0.79288672378,0.9068895633619574
14,0.9172399519101978,0.8025966298197514,0.9172399519101981
15,0.9265329594371731,0.8125142169486478,0.9265329594371731
16,0.9348586562292378,0.8225713454607856,0.9348586562292376
17,0.9423042528599078,0.8327005520559796,0.942304252859908
18,0.9489523362474833,0.8428352830019564,0.948952336247483
19,0.9548799951898558,0.8529103309490257,0.9548799951898558
20,0.31545910155827533,0.4453807407364937,0.31545910155827533
21,0.3382931407855342,0.4512130006981815,0.33829314078553424
22,0.3651924868964759,0.4580439534957776,0.365192486896476
23,0.39689687855289585,0.46610960039068305,0.3968968785528958
24,0.4325477405304365,0.4754258229516237,0.4325477405304365
25,0.47077479381189213,0.48594637121999934,0.4707747938118922
26,0.5101973392829775,0.49759932250810723,0.5101973392829775
27,0.5496537717815676,0.5103033640852317,0.5496537717815676
28,0.5882581845561294,0.5239748164048277,0.5882581845561294
29,0.270784974193671,0.3869056116786113,0.27134587900934
30,0.3055455752263102,0.3982874094861298,0.30756455745374256
31,0.34535749389988024,0.4107014892321905,0.3459737513141624
32,0.3857745892582503,0.42423402875639515,0.3866688594664519
33,0.43000655068917,0.4388748359125584,0.4289898905615121
34,0.47283894199802984,0.4545821123025343,0.4719968260723019
35,0.5126690134391443,0.4712962599073823,0.5147498139710525
36,0.5557230969054943,0.4889457630835544,0.5564563228234636
37,0.5963437812335148,0.5074495314815324,0.5965147565123686
38,0.6366086268970985,0.5267177079785501,0.6345052000084869
39,0.6691593334373872,0.5466519379890667,0.6701609850591161
40,0.7032276259051681,0.5671456200577374,0.7033371733622205
41,0.7331528493636543,0.5880844126483517,0.7339820712386778
42,0.7627261948057845,0.6093471331566096,0.762113422844791
43,0.7881293400717035,0.6308070965860832,0.7877992227198384
44,0.810937418951991,0.6523338782763766,0.8111425529949261
45,0.8326180818776812,0.6737954375131959,0.8322697593942561
46,0.8515111220811755,0.6950605036880507,0.8513213373297175
47,0.8686725756589591,0.7160011036745952,0.8684449937308241
48,0.8836565188214217,0.7364950985566956,0.8837904436330228
49,0.8979402513104607,0.756428599389428,0.8975055820232448
50,0.9100206177665725,0.7756981437572846,0.9097337394819216
51,0.9208816209208454,0.7942125349668638,0.9206117860946581
52,0.9303978634560925,0.8118942707340189,0.9302688938497645
53,0.939020249107028,0.8286805152759676,0.9388258050862133
54,0.9463974482455894,0.844523595461417,0.9463944850247809
55,0.953082597787035,0.8593910265394921,0.9530780612413607
56,0.9590466477638133,0.8732650950598853,0.9589709731336914
57,0.9643146938612208,0.8861420454025242,0.9641592708152006
58,0.9688228335877443,0.898030931457828,0.9687210161201019
59,0.9726391348293848,0.9089522060005301,0.9727267490823881
60,0.9762019756165848,0.9189361267258452,0.9762399918217712
61,0.9793760350306472,0.9280210594491577,0.9793177686165023
62,0.9819379298578813,0.9362517556204492,0.9820111263848281
63,0.9843313523826548,0.9436776735374044,0.9843656440969348
64,0.9864392984706969,0.9503514013778146,0.986421923014737
65,0.9882204256121324,0.9563272266682408,0.988216052286442
66,0.9897831650767741,0.9616598824508217,0.9897800464528367
67,0.9911590823628056,0.9664034865107483,0.9911422529724531
68,0.9923598092435625,0.970610677635595,0.9923277290406766
69,0.9933674050669692,0.9743319426942818,0.9933585878426973
70,0.9942807575834213,0.9776151206772777,0.9942543150060901
71,0.9950116249565474,0.9805050647347203,0.9950320564575578
72,0.9957324539344103,0.9830434404469417,0.99570687918158
73,0.9962802268785724,0.9852686376756944,0.9962920065598035
74,0.9968089573156003,0.9872157739252417,0.996799030065623
75,0.9974571481432245,0.9890074503214933,0.9974603040673905
76,0.9977974756525724,0.9904781681398029,0.9978082603751279
77,0.9981168894107286,0.9917593649590876,0.9981094653028104
78,0.998374737868897,0.9928740134926274,0.9983700465581118
79,0.9986003008941977,0.9938426033287563,0.9985953544648445
80,0.9987923504652135,0.9946833435293074,0.9987900562401903
81,0.9989617459697795,0.9954123643173148,0.9989582195783097
82,0.9991042983023916,0.9960439131405043,0.9991033866247806
83,0.9992266365261745,0.9965905417949897,0.9992286393395811
84,0.9993394180026117,0.9970632824230276,0.9993366571619263
85,0.9994307523077296,0.9974718110893115,0.9994297678093145
86,0.9995129136313655,0.99782459832528,0.999509991966305
87,0.9995795201477043,0.9981290465436334,0.9995790825463421
88,0.9996386318672227,0.998391614596893,0.9996385591426057
89,0.9996897730967389,0.9986179300124193,0.9996897382214874
90,0.9997339865913866,0.9988128896060244,0.9997337595548627
91,0.9997710096089704,0.9989807492776667,0.9997716093347205
92,0.9998047907306229,0.9991252038425037,0.999804140365737
93,0.9998324521217664,0.9992494577624458,0.9998320896878208
94,0.9998562141185272,0.9993562876281556,0.999856093941263
95,0.9999412061039248,0.9996314001630735,0.9999412061039246
96,0.999949573554026,0.999683798321587,0.9999495735540257
97,0.99995676367392,0.999728839855104,0.9999567636739198
98,0.9999629398671402,0.9997675415849085,0.9999629398671399
99,0.9999682432340489,0.9998007826529586,0.9999682432340486
100,0.9999727955531234,0.9998293226355409,0.9999727955531236
101,0.9999767018742834,0.9998538173754504,0.9999767018742836
102,0.9999800527729674,0.9998748327994552,0.9999800527729676
103,0.99998292630786,0.9998928569610782,0.9999829263078606
