,day_reported,infector_index
0,0,-1
1,14,0
2,20,0
3,24,1
4,27,0
5,30,1
6,30,1
7,30,1
8,31,1
9,33,7
10,42,1
11,43,7
12,44,7
13,48,10
14,49,7
15,50,7
16,53,15
17,53,7
18,55,1
19,57,7
20,58,15
21,58,15
22,58,7
23,61,1
24,63,15
25,66,15
26,69,15
27,70,19
28,72,27
29,82,22
30,84,27
31,88,23
32,89,28
33,90,23
34,92,27
35,93,33
36,93,29
37,95,28
38,98,27
39,100,32
40,100,31
41,107,38
42,108,14
43,110,39
44,113,39
45,113,34
46,117,45
47,120,42
48,121,42
49,122,42
50,122,42
51,127,46
52,134,42
53,135,52
54,136,51
55,141,52
56,144,54
57,147,54
58,152,54
59,152,51
60,154,42
